Day,Cash On Hand
1,3487400
2,3210760
3,1222219
4,379951
5,152849
6,128295
7,253542
8,552687
9,120884
10,325198
11,380036
12,756469
13,1489852
14,2158183
15,710620
16,431514
17,319621
18,328579
19,145095
20,520092
21,411952
22,578995
23,520205
24,555281
25,1419731
26,1530159
27,517879
28,923410
29,964685
30,2077240
31,2119318
32,2298261
33,2517978
34,2921547
35,2533468
36,1420379
37,1604339
38,501019
39,334938
40,280095
41,368101
42,275050
43,491630
44,1327088
45,1208973
46,1311139
47,3055595
48,3968060
49,5182078
50,6060001
51,5784098
52,8144624
53,7755090
54,8019689
55,8030737
56,8535538
57,9159368
58,9067606
59,10185147
60,10589284
61,10882312
62,11822716
63,11931964
64,12067587
65,12824780
66,13160784
67,13591689
68,12693178
69,13013539
70,13590051
71,14014921
72,13759917
73,14238802
74,14491098
75,14161844
76,14411497
77,13950198
78,14658702
79,15768020
80,16910969
81,17817963
82,18655991
83,16451683
84,16784266
85,17849482
86,18106780
87,18609418
88,20027239
89,19920584
90,19863657
