Day,Sales,Trading Profit,Operating Expense,Net Profit
1,0,0,12600,-12600
2,0,0,289240,-289240
3,86099,34859,323880,-289021
4,174878,73771,561927,-488156
5,262837,110251,635488,-525237
6,373482,164620,698628,-534008
7,553075,244544,764031,-519487
8,907630,507091,829441,-322350
9,1057682,538486,888328,-349842
10,3206991,1526118,968323,557795
11,4292796,2077399,1077380,1000019
12,7339946,3849982,1185309,2664673
13,8724507,4598766,1347292,3251474
14,9878459,5280206,1547913,3732293
15,10079470,5383249,1660911,3722338
16,10331089,5515281,1807512,3707769
17,11906325,6360908,1970161,4390747
18,12141743,6492808,2090853,4401955
19,13333886,7158284,2209940,4948344
20,13842150,7575881,2358207,5217674
21,14607630,7941876,2658847,5283029
22,14897800,8103961,2796974,5306987
23,15277620,8390202,2974594,5415608
24,16682493,9177306,3123753,6053553
25,18026309,9759897,3323119,6436778
26,18381845,9990770,3588227,6402543
27,18721012,10222833,3773482,6449351
28,19282457,10675253,3949396,6725857
29,19910134,10965083,4156478,6808605
30,21410964,11537326,4323961,7213365
31,21831898,11811965,4478017,7333948
32,22178912,12051161,4666088,7385073
33,23435001,12616775,4835692,7781083
34,24886987,13119990,5067215,8052775
35,25259193,13375967,5260399,8115568
36,25657315,13645219,5421326,8223893
37,26772302,14429262,5601968,8827294
38,28027234,15200751,6076924,9123827
39,28901858,15823260,6281710,9541550
40,29251908,16064786,6449380,9615406
41,30649300,16571601,6621231,9950370
42,31155266,16893968,6829848,10064120
43,31533222,17175591,7011224,10164367
44,32886137,17857538,7244805,10612733
45,33783049,18372816,7494336,10878480
46,34335109,18768456,7689334,11079122
47,36467189,19969886,7929702,12040184
48,37897889,20661597,8278337,12383260
49,39784465,21386379,8469011,12917368
50,41152096,22035957,8677613,13358344
51,41615051,22331237,9195630,13135607
52,44330312,23427633,9433349,13994284
53,44809700,23782517,9657911,14124606
54,45436119,24316627,9909171,14407456
55,45869031,24630396,10120088,14510308
56,46832089,25200883,10376360,14824523
57,47742149,25626293,10572290,15054003
58,48264968,26034356,10765304,15255552
59,49565522,26787470,10961899,15812071
60,50207689,27317633,11214929,16089204
61,50732260,27714701,11404340,16296861
62,51982683,28296261,11607306,16675455
63,52444740,28655018,11846024,16795494
64,52928569,29032264,12028271,16990493
65,54306926,29876487,12241547,17621440
66,54976941,30443456,12423846,18006110
67,55799034,30960129,12623680,18322949
68,56362171,31413873,12820824,18579549
69,57294013,31966751,13002605,18950646
70,58271976,32570887,13243938,19313449
71,58950599,33046461,13502691,19530270
72,59502573,33494912,13685218,19796194
73,60158787,33972774,13867547,20091727
74,60744603,34429710,14075067,20341143
75,61396856,34976621,14285934,20677187
76,61988202,35218669,14627627,20577542
77,62180114,35374071,14751238,20609333
78,63326017,36297683,14901797,21382386
79,64916450,37642120,15035870,22592750
80,66268326,38707818,15244797,23449521
81,67555395,39740659,15450438,24276721
82,68993285,40885422,15630716,25241206
83,69507804,41291811,15859179,25419132
84,70862226,41902118,16041549,25847069
85,72401354,42392218,16220937,26157781
86,72906098,42811111,16468383,26329228
87,73858899,43365333,16662830,26689003
88,75538353,43898502,16842047,27042955
89,76121103,44349558,17100502,27235556
90,77424832,44914930,17296746,27604684
